City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Port Augusta,AU,82.99,clear sky,-32.5,137.7667,Majestic Oasis Apartments
592,Armidale,AU,82.99,scattered clouds,-30.5167,151.65,Abbotsleigh Motor Inn
595,Boa Vista,BR,84.2,light rain,2.8197,-60.6733,Aipana Plaza Hotel
600,Rodrigues Alves,BR,74.28,overcast clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
602,Santo Tomas,PH,82.0,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
605,Bhatkal,IN,72.68,scattered clouds,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
607,Mhlume,SZ,72.0,overcast clouds,-26.0333,31.85,
608,Alice Springs,AU,91.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
612,Yaan,NG,73.47,overcast clouds,7.3833,8.5667,
613,Pandan,PH,79.57,broken clouds,14.0453,124.1694,Bonifacio Lodge
614,Soeng Sang,TH,77.0,scattered clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
616,Tubmanburg,LR,73.4,clear sky,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
617,Nabire,ID,85.3,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
624,Axim,GH,77.85,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
628,Kirakira,SB,81.45,heavy intensity rain,-10.4544,161.9205,SanBiz Lodge
629,Langsa,ID,79.52,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
631,Clarence Town,AU,73.99,light intensity drizzle,-32.5833,151.7833,River Downs Cottage
633,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
635,Ambilobe,MG,73.38,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
642,Baculin,PH,83.61,overcast clouds,7.4525,126.5842,Shovy's Cove
646,Pemangkat,ID,77.88,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
648,Dharmadam,IN,71.53,overcast clouds,11.7833,75.4333,Samudra Homes
650,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
652,Barras,BR,74.34,light rain,-4.2444,-42.2944,Casa Vale
658,Ilo,PE,70.02,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
664,Manavalakurichi,IN,75.2,haze,8.1333,77.3,Udaya Boys Hostel
666,Jacareacanga,BR,74.73,moderate rain,-6.2222,-57.7528,Casa do Ian😎
668,Touros,BR,78.93,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
669,Bandundu,CD,72.55,overcast clouds,-3.3167,17.3667,Coja Color
673,Catumbela,AO,74.61,overcast clouds,-12.4314,13.5472,Hotel Do Kamgamba
679,Singaparna,ID,80.58,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
680,Mercedes,AR,75.99,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
